product,face_amount,age,gender,rate,glp15,premium_7p,premium_min
AG,1000000,1,Female,Standard,3191.01,8836.19,
AG,1000000,1,Male,Standard,3820.33,10480.63,
AG,1000000,10,Female,Standard,4339.81,12213.25,
AG,1000000,10,Male,Standard,5217.7,14450.66,
AG,1000000,11,Female,Standard,4498.29,12669.53,
AG,1000000,11,Male,Standard,5413.27,14997.39,
AG,1000000,12,Female,Standard,4663.8,13142.93,
AG,1000000,12,Male,Standard,5616.03,15561.05,
AG,1000000,13,Female,Standard,4835,13629.26,
AG,1000000,13,Male,Standard,5825.11,16139.26,
AG,1000000,14,Female,Standard,5012.94,14130.7,
AG,1000000,14,Male,Standard,6041.18,16732.67,
AG,1000000,15,Female,Standard,5197.76,14647.84,
AG,1000000,15,Male,Standard,6263.62,17338.68,
AG,1000000,16,Female,Standard,5390.46,15182.94,
AG,1000000,16,Male,Standard,6489.61,17947.9,
AG,1000000,17,Female,Standard,5590.29,15733.47,
AG,1000000,17,Male,Standard,6720.3,18561.85,
AG,1000000,18,Female,Standard,5678.25,16303.26,
AG,1000000,18,Female,Tobacco,5795.59,16303.26,
AG,1000000,18,Male,Standard,6729.49,19180.47,
AG,1000000,18,Male,Tobacco,6853.53,19180.47,
AG,1000000,19,Female,Standard,5905.84,16893.12,
AG,1000000,19,Female,Tobacco,6029.19,16893.12,
AG,1000000,19,Male,Standard,6981.37,19813.5,
AG,1000000,19,Male,Tobacco,7111.79,19813.5,
AG,1000000,2,Female,Standard,3291.2,9134.49,
AG,1000000,2,Male,Standard,3935.91,10811.57,
AG,1000000,20,Female,Standard,6146.3,17502.23,
AG,1000000,20,Female,Tobacco,6276.73,17502.23,
AG,1000000,20,Male,Standard,7248.56,20466.32,
AG,1000000,20,Male,Tobacco,7385.99,20466.32,
AG,1000000,21,Female,Standard,6389.91,18134.62,
AG,1000000,21,Female,Tobacco,6525.55,18134.62,
AG,1000000,21,Male,Standard,7519.77,21143.07,
AG,1000000,21,Male,Tobacco,7665.87,21143.07,
AG,1000000,22,Female,Standard,6644.89,18791.35,
AG,1000000,22,Female,Tobacco,6786.35,18791.35,
AG,1000000,22,Male,Standard,7807.01,21848.12,
AG,1000000,22,Male,Tobacco,7960.24,21848.12,
AG,1000000,23,Female,Standard,6917.24,19471.83,
AG,1000000,23,Female,Tobacco,7067.04,19471.83,
AG,1000000,23,Male,Standard,8110.43,22579.4,
AG,1000000,23,Male,Tobacco,8271.65,22579.4,
AG,1000000,24,Female,Standard,7203.37,20180.36,
AG,1000000,24,Female,Tobacco,7361.95,20180.36,
AG,1000000,24,Male,Standard,8429.23,23339.56,
AG,1000000,24,Male,Tobacco,8599.11,23339.56,
AG,1000000,25,Female,Standard,7502.41,20914.91,
AG,1000000,25,Female,Tobacco,7670.63,20914.91,
AG,1000000,25,Male,Standard,8764.25,24128.11,
AG,1000000,25,Male,Tobacco,8943.34,24128.11,
AG,1000000,26,Female,Standard,7782.96,21676.65,
AG,1000000,26,Female,Tobacco,7952.04,21676.65,
AG,1000000,26,Male,Standard,9079.71,24946.15,
AG,1000000,26,Male,Tobacco,9259.83,24946.15,
AG,1000000,27,Female,Standard,8077.03,22466.8,
AG,1000000,27,Female,Tobacco,8247,22466.8,
AG,1000000,27,Male,Standard,9409.4,25789.93,
AG,1000000,27,Male,Tobacco,9590.59,25789.93,
AG,1000000,28,Female,Standard,8384.4,23283.39,
AG,1000000,28,Female,Tobacco,8555.3,23283.39,
AG,1000000,28,Male,Standard,9754.24,26660.39,
AG,1000000,28,Male,Tobacco,9936.56,26660.39,
AG,1000000,29,Female,Standard,8706.44,24129.26,
AG,1000000,29,Female,Tobacco,8878.32,24129.26,
AG,1000000,29,Male,Standard,10117.94,27566.72,
AG,1000000,29,Male,Tobacco,10301.44,27566.72,
AG,1000000,3,Female,Standard,3400.19,9459.31,
AG,1000000,3,Male,Standard,4065.16,11183.08,
AG,1000000,30,Female,Standard,9044.1,25005.85,
AG,1000000,30,Female,Tobacco,9217,25005.85,
AG,1000000,30,Male,Standard,10502.85,28513.79,
AG,1000000,30,Male,Tobacco,10687.59,28513.79,
AG,1000000,31,Female,Standard,9365.78,25916.28,
AG,1000000,31,Female,Tobacco,9539.13,25916.28,
AG,1000000,31,Male,Standard,10871.99,29502.02,
AG,1000000,31,Male,Tobacco,11057.37,29502.02,
AG,1000000,32,Female,Standard,9702.05,26857.31,
AG,1000000,32,Female,Tobacco,9875.9,26857.31,
AG,1000000,32,Male,Standard,11262.44,30533.42,
AG,1000000,32,Male,Tobacco,11448.54,30533.42,
AG,1000000,33,Female,Standard,10054.46,27832.02,
AG,1000000,33,Female,Tobacco,10228.86,27832.02,
AG,1000000,33,Male,Standard,11675.17,31608.68,
AG,1000000,33,Male,Tobacco,11862.04,31608.68,
AG,1000000,34,Female,Standard,10423.59,28840.35,
AG,1000000,34,Female,Tobacco,10598.59,28840.35,
AG,1000000,34,Male,Standard,12110.69,32726.87,
AG,1000000,34,Male,Tobacco,12298.39,32726.87,
AG,1000000,35,Female,Standard,10773.26,29882.27,
AG,1000000,35,Female,Tobacco,10948.32,29882.27,
AG,1000000,35,Male,Standard,12528.12,33888.69,
AG,1000000,35,Male,Tobacco,12716.1,33888.69,
AG,1000000,36,Female,Standard,11238.89,30954.48,
AG,1000000,36,Female,Tobacco,11430.91,30954.48,
AG,1000000,36,Male,Standard,13089.36,35096.64,
AG,1000000,36,Male,Tobacco,13297.72,35096.64,
AG,1000000,37,Female,Standard,11727.16,32063.3,
AG,1000000,37,Female,Tobacco,11937.82,32063.3,
AG,1000000,37,Male,Standard,13679.52,36346.99,
AG,1000000,37,Male,Tobacco,13909.56,36346.99,
AG,1000000,38,Female,Standard,12238.71,33207.35,
AG,1000000,38,Female,Tobacco,12466.45,33207.35,
AG,1000000,38,Male,Standard,14301.34,37644.01,
AG,1000000,38,Male,Tobacco,14558.36,37644.01,
AG,1000000,39,Female,Standard,12776.38,34391.77,
AG,1000000,39,Female,Tobacco,13024.69,34391.77,
AG,1000000,39,Male,Standard,14955.2,38984.37,
AG,1000000,39,Male,Tobacco,15239.15,38984.37,
AG,1000000,4,Female,Standard,3517.04,9806.91,
AG,1000000,4,Male,Standard,4206.19,11588.88,
AG,1000000,40,Female,Standard,13342.22,35618.87,
AG,1000000,40,Female,Tobacco,13613.6,35618.87,
AG,1000000,40,Male,Standard,15643.63,40371.14,
AG,1000000,40,Male,Tobacco,15958.26,40371.14,
AG,1000000,41,Female,Standard,13985.08,36889.63,
AG,1000000,41,Female,Tobacco,14268.44,36889.63,
